date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,season
"Dec 28, 2011",OKC (3-0) T1,DEN (2-0) T1,NOH (2-0) T1,POR (2-0) T1,SAS (2-0) T1,GSW (2-1),LAC (1-1) T7,SAC (1-1) T7,LAL (1-2),DAL (0-2) T10,HOU (0-1) T10,MEM (0-2) T10,MIN (0-2) T10,PHO (0-2) T10,UTA (0-2) T10,2012
"Dec 29, 2011",OKC (4-0) T1,POR (3-0) T1,NOH (2-0) T1,DEN (2-1) T4,GSW (2-1) T4,SAS (2-1) T4,LAL (2-2) T7,HOU (1-1) T7,LAC (1-1) T7,SAC (1-2),DAL (0-3) T11,MEM (0-2) T11,MIN (0-2) T11,PHO (0-2) T11,UTA (0-2) T11,2012
"Dec 30, 2011",OKC (4-0) T1,POR (3-0) T1,DEN (2-1) T3,GSW (2-1) T3,NOH (2-1) T3,SAS (2-1) T3,LAL (2-2),HOU (1-2) T8,LAC (1-2) T8,MEM (1-2) T8,PHO (1-2) T8,SAC (1-2) T8,UTA (1-2) T8,DAL (1-3),MIN (0-3),2012
"Dec 31, 2011",OKC (5-0) T1,POR (3-0) T1,SAS (3-1),NOH (2-1),LAL (3-2),DEN (2-2) T6,GSW (2-2) T6,HOU (2-2) T6,LAC (1-2) T9,MEM (1-2) T9,DAL (1-3) T11,PHO (1-3) T11,SAC (1-3) T11,UTA (1-3) T11,MIN (0-3),2012
"Jan 1, 2012",OKC (5-0),POR (3-1) T2,SAS (3-1) T2,DEN (3-2),LAL (3-3) T5,GSW (2-2) T5,HOU (2-2) T5,LAC (2-2) T5,NOH (2-2) T5,SAC (2-3),MEM (1-3) T11,MIN (1-3) T11,PHO (1-3) T11,UTA (1-3) T11,DAL (1-4),2012
"Jan 2, 2012",OKC (5-1),POR (3-1),DEN (4-2),SAS (3-2),LAL (3-3) T5,HOU (2-2) T5,LAC (2-2) T5,GSW (2-3) T8,MIN (2-3) T8,NOH (2-3) T8,PHO (2-3) T8,SAC (2-3) T8,UTA (2-3) T8,DAL (2-4),MEM (1-3),2012
"Jan 3, 2012",POR (4-1),OKC (5-2),DEN (4-2),SAS (3-2),LAL (4-3),UTA (3-3) T6,LAC (2-2) T6,GSW (2-3) T8,HOU (2-3) T8,MEM (2-3) T8,MIN (2-3) T8,NOH (2-3) T8,PHO (2-3) T8,DAL (2-4) T14,SAC (2-4) T14,2012
"Jan 4, 2012",POR (4-1),DEN (5-2) T2,OKC (5-2) T2,SAS (4-2),LAC (3-2),LAL (4-3),MEM (3-3) T7,UTA (3-3) T7,DAL (3-4),GSW (2-4) T10,HOU (2-4) T10,MIN (2-4) T10,NOH (2-4) T10,PHO (2-4) T10,SAC (2-5),2012
"Jan 5, 2012",POR (5-1),DEN (5-2) T2,OKC (5-2) T2,SAS (5-2) T2,LAC (3-2),LAL (4-4) T6,MEM (3-3) T6,UTA (3-3) T6,DAL (3-5) T9,SAC (3-5) T9,GSW (2-4) T11,HOU (2-4) T11,MIN (2-4) T11,NOH (2-4) T11,PHO (2-4) T11,2012
"Jan 6, 2012",DEN (6-2) T1,OKC (6-2) T1,POR (5-2) T3,SAS (5-2) T3,LAC (3-2),UTA (4-3),LAL (5-4),MEM (3-4) T8,PHO (3-4) T8,DAL (3-5) T10,SAC (3-5) T10,GSW (2-5) T12,HOU (2-5) T12,MIN (2-5) T12,NOH (2-5) T12,2012
"Jan 7, 2012",OKC (7-2),SAS (6-2),POR (5-2),DEN (6-3) T4,LAC (4-2) T4,UTA (5-3),LAL (5-4),DAL (4-5),MEM (3-4) T9,PHO (3-4) T9,SAC (3-5),MIN (2-5),GSW (2-6) T13,HOU (2-6) T13,NOH (2-6) T13,2012
"Jan 8, 2012",OKC (8-2),POR (6-2),DEN (6-3) T3,SAS (6-3) T3,LAC (4-2) T3,UTA (5-3),LAL (6-4),PHO (4-4),DAL (4-5),MEM (3-5) T10,MIN (3-5) T10,SAC (3-6),GSW (2-6) T13,HOU (2-6) T13,NOH (2-6) T13,2012
"Jan 9, 2012",OKC (8-2),POR (6-2),SAS (6-3) T3,LAC (4-2) T3,UTA (5-3),DEN (6-4) T6,LAL (6-4) T6,PHO (4-4),DAL (4-5),MEM (3-5),MIN (3-6) T11,NOH (3-6) T11,SAC (3-6) T11,GSW (2-6) T14,HOU (2-6) T14,2012
"Jan 10, 2012",OKC (9-2),POR (7-2),UTA (6-3),LAL (7-4),DEN (6-4) T5,SAS (6-4) T5,LAC (4-3),DAL (5-5),PHO (4-5),GSW (3-6) T10,HOU (3-6) T10,MEM (3-6) T10,NOH (3-6) T10,MIN (3-7) T14,SAC (3-7) T14,2012
"Jan 11, 2012",OKC (10-2),POR (7-3),LAL (8-4),DEN (7-4) T4,SAS (7-4) T4,LAC (5-3),UTA (6-4),DAL (6-5),PHO (4-5),SAC (4-7),GSW (3-6) T11,MEM (3-6) T11,HOU (3-7) T13,MIN (3-7) T13,NOH (3-7) T13,2012
"Jan 12, 2012",OKC (10-2),POR (7-3),LAL (8-4),DEN (7-4) T4,SAS (7-4) T4,LAC (5-3),UTA (6-4),DAL (6-5),MEM (4-6) T9,PHO (4-6) T9,SAC (4-7),GSW (3-7) T12,HOU (3-7) T12,MIN (3-7) T12,NOH (3-7) T12,2012
"Jan 13, 2012",OKC (10-2),LAL (9-4),DEN (8-4) T3,SAS (8-4) T3,POR (7-4),LAC (5-3),UTA (6-4),DAL (7-5),MEM (4-6),HOU (4-7) T10,MIN (4-7) T10,PHO (4-7) T10,SAC (4-8),GSW (3-7),NOH (3-8),2012
"Jan 14, 2012",OKC (11-2),DEN (8-4) T2,SAS (8-4) T2,LAC (6-3) T2,LAL (9-5),UTA (7-4),DAL (8-5),POR (7-5),MEM (5-6),HOU (5-7),PHO (4-7),MIN (4-8),SAC (4-9),GSW (3-8),NOH (3-9),2012
"Jan 15, 2012",OKC (11-2),SAS (9-4),UTA (8-4) T3,LAC (6-3) T3,LAL (9-5),DAL (8-5) T6,DEN (8-5) T6,POR (7-5),MEM (5-6),HOU (5-7),GSW (4-8) T11,MIN (4-8) T11,PHO (4-8) T11,SAC (4-9),NOH (3-9),2012
"Jan 16, 2012",OKC (12-2),LAC (7-3),SAS (9-4),LAL (10-5) T4,UTA (8-4) T4,DEN (8-5) T6,POR (8-5) T6,DAL (8-6),MEM (6-6),HOU (6-7),MIN (5-8),GSW (4-8) T12,PHO (4-8) T12,SAC (4-10),NOH (3-10),2012
"Jan 17, 2012",OKC (12-2),UTA (9-4),LAL (10-5),DEN (9-5) T4,SAS (9-5) T4,LAC (7-4),POR (8-5),DAL (8-6),HOU (7-7) T9,MEM (6-6) T9,GSW (5-8) T11,MIN (5-8) T11,PHO (4-9),SAC (4-10),NOH (3-10),2012
"Jan 18, 2012",OKC (12-3),UTA (9-4),DEN (10-5) T3,LAL (10-5) T3,SAS (10-5) T3,LAC (8-4) T3,POR (8-6),MEM (7-6),DAL (8-7),HOU (7-7),MIN (6-8),GSW (5-9) T12,PHO (5-9) T12,SAC (5-10),NOH (3-11),2012
"Jan 19, 2012",OKC (12-3),DEN (10-5) T2,SAS (10-5) T2,LAC (8-4) T2,UTA (9-5),LAL (10-6),POR (8-6),DAL (9-7),MEM (7-6),HOU (8-7),MIN (6-8),GSW (5-9) T12,PHO (5-9) T12,SAC (5-10),NOH (3-12),2012
"Jan 20, 2012",OKC (12-3),DEN (11-5),UTA (9-5),SAS (10-6),LAC (8-5),POR (9-6),LAL (10-7),MEM (8-6),DAL (9-7),HOU (8-7),MIN (7-8),PHO (6-9),SAC (6-10),GSW (5-10),NOH (3-12),2012
"Jan 21, 2012",OKC (13-3),DEN (12-5),UTA (10-5),LAC (8-5),MEM (9-6),DAL (10-7) T6,LAL (10-7) T6,SAS (10-7) T6,HOU (9-7) T9,POR (9-7) T9,MIN (7-9),PHO (6-9),SAC (6-11),GSW (5-10),NOH (3-13),2012
"Jan 22, 2012",OKC (13-3),DEN (12-5),UTA (10-5),LAC (9-5),MEM (9-6),DAL (10-7) T6,SAS (10-7) T6,HOU (9-7) T8,POR (9-7) T8,LAL (10-8),MIN (7-9),PHO (6-9),SAC (6-11),GSW (5-10),NOH (3-13),2012
"Jan 23, 2012",OKC (14-3),DEN (12-5),UTA (10-5),LAC (9-5),MEM (10-6),DAL (11-7) T6,SAS (11-7) T6,HOU (10-7) T8,POR (10-7) T8,LAL (10-8),MIN (7-10),PHO (6-10),SAC (6-12),GSW (5-11),NOH (3-14),2012
"Jan 24, 2012",OKC (14-3),DEN (12-5),UTA (10-5),LAC (9-5),DAL (11-7) T5,POR (11-7) T5,SAS (11-7) T5,HOU (10-7) T8,MEM (10-7) T8,LAL (10-8),MIN (7-10),PHO (6-11),SAC (6-12),GSW (5-11),NOH (3-14),2012
"Jan 25, 2012",OKC (15-3),DEN (13-5),SAS (12-7),UTA (10-6),LAC (9-6),MEM (10-7),DAL (11-8) T7,LAL (11-8) T7,POR (11-8) T7,HOU (10-8),MIN (8-10),GSW (6-11) T12,PHO (6-11) T12,SAC (6-13),NOH (3-15),2012
"Jan 26, 2012",OKC (15-3),DEN (13-5),SAS (12-7),LAC (10-6) T4,UTA (10-6) T4,DAL (11-8) T6,LAL (11-8) T6,POR (11-8) T6,HOU (10-8) T9,MEM (10-8) T9,MIN (8-10),GSW (6-11) T12,PHO (6-11) T12,SAC (6-13),NOH (3-15),2012
"Jan 27, 2012",OKC (16-3),DEN (14-5),LAC (10-6),DAL (12-8) T4,POR (12-8) T4,SAS (12-8) T4,UTA (10-7),HOU (11-8) T8,LAL (11-8) T8,MEM (10-8),MIN (9-10),GSW (6-12) T12,PHO (6-12) T12,SAC (6-13),NOH (4-15),2012
"Jan 28, 2012",OKC (16-3),DEN (14-5),LAC (10-6),UTA (11-7),DAL (12-8) T5,HOU (12-8) T5,POR (12-8) T5,SAS (12-8) T5,LAL (11-9),MEM (10-9),MIN (9-10),PHO (7-12),GSW (6-12),SAC (6-14),NOH (4-15),2012
"Jan 29, 2012",OKC (16-3),DEN (14-6),LAC (11-6),DAL (13-8),UTA (11-7),HOU (12-8) T6,POR (12-8) T6,LAL (12-9) T8,SAS (12-9) T8,MEM (10-9),MIN (9-11),PHO (7-12),GSW (6-12),SAC (6-14),NOH (4-16),2012
"Jan 30, 2012",OKC (16-4),DEN (14-6),LAC (12-6),DAL (14-8),UTA (12-7),SAS (13-9),HOU (12-9) T7,LAL (12-9) T7,POR (12-9) T7,MEM (10-10),MIN (10-11),PHO (7-13),GSW (6-12),SAC (6-14),NOH (4-17),2012
"Jan 31, 2012",OKC (16-4),DEN (14-7) T2,LAC (12-6) T2,DAL (14-8),UTA (12-7),LAL (13-9) T6,SAS (13-9) T6,HOU (12-9) T8,POR (12-9) T8,MEM (11-10),MIN (10-11),GSW (7-12),PHO (7-13),SAC (6-15),NOH (4-17),2012
"Feb 1, 2012",OKC (17-4),LAC (13-6),DEN (14-7),DAL (14-9) T4,SAS (14-9) T4,UTA (12-8),LAL (13-9) T7,POR (13-9) T7,HOU (12-10),MEM (11-10),MIN (10-12),PHO (8-13),GSW (7-12),SAC (6-15),NOH (4-18),2012
"Feb 2, 2012",OKC (17-4),DEN (15-7),LAC (13-7),SAS (15-9),DAL (14-9),LAL (13-9),UTA (12-9),POR (13-10),HOU (12-10) T9,MEM (12-10) T9,MIN (10-12),GSW (8-12),PHO (8-13),SAC (7-15),NOH (4-19),2012
"Feb 3, 2012",OKC (18-4),DEN (15-8),LAC (13-7),SAS (15-9),LAL (14-9),DAL (14-10),UTA (12-9),HOU (13-10) T8,POR (13-10) T8,MEM (12-11),MIN (11-12),GSW (8-12),PHO (8-14),SAC (7-15),NOH (4-19),2012
"Feb 4, 2012",OKC (18-5),LAC (14-7),SAS (16-9),DEN (15-9),UTA (13-9),LAL (14-10) T6,POR (14-10) T6,DAL (14-11),HOU (13-11),MEM (12-11),MIN (12-12),PHO (9-14),GSW (8-13),SAC (8-15),NOH (4-20),2012
"Feb 5, 2012",OKC (18-5),LAC (14-7),SAS (16-9),DEN (15-9),UTA (13-9),LAL (14-10) T6,POR (14-10) T6,DAL (14-11),HOU (13-11),MEM (12-12) T10,MIN (12-12) T10,PHO (9-14),GSW (8-13),SAC (8-15),NOH (4-20),2012
"Feb 6, 2012",OKC (19-5),LAC (15-7),SAS (17-9),DEN (15-10),UTA (13-10),DAL (14-11) T6,HOU (14-11) T6,LAL (14-11) T6,POR (14-11) T6,MIN (12-12),MEM (12-13),PHO (10-14),GSW (8-13),SAC (9-15),NOH (4-21),2012
"Feb 7, 2012",OKC (20-5),LAC (15-7),SAS (17-9),DEN (15-10),DAL (14-11) T5,HOU (14-11) T5,LAL (14-11) T5,POR (14-11) T5,UTA (13-11),MIN (13-12),MEM (12-13),PHO (11-14),GSW (8-14),SAC (9-16),NOH (4-21),2012
"Feb 8, 2012",OKC (20-5),SAS (18-9),LAC (15-8),DAL (15-11) T4,DEN (15-11) T4,HOU (15-11) T4,LAL (14-11),UTA (13-11),POR (14-12),MEM (13-13) T10,MIN (13-13) T10,PHO (11-14),GSW (8-14),SAC (9-16),NOH (4-22),2012
"Feb 9, 2012",OKC (20-6),SAS (18-9),LAC (15-8),HOU (16-11),DAL (15-11) T5,LAL (15-11) T5,DEN (15-12),UTA (13-11),POR (14-12),MEM (13-13) T10,MIN (13-13) T10,PHO (11-15),GSW (9-14),SAC (10-16),NOH (4-22),2012
"Feb 10, 2012",OKC (21-6),SAS (18-9) T2,LAC (16-8) T2,DAL (16-11) T4,HOU (16-11) T4,DEN (15-12) T6,LAL (15-12) T6,POR (15-12) T6,UTA (13-12),MEM (14-13),MIN (13-14),PHO (11-15),GSW (9-14),SAC (10-16),NOH (4-23),2012
"Feb 11, 2012",OKC (21-6),LAC (17-8),SAS (19-9),DAL (17-11),HOU (16-11),DEN (16-12),LAL (15-12),POR (15-13),UTA (13-12),MEM (14-13),MIN (13-15),PHO (12-15),GSW (9-14),SAC (10-17),NOH (4-23),2012
"Feb 12, 2012",OKC (21-6),LAC (17-8),SAS (19-9),DAL (17-11),DEN (16-12) T5,HOU (16-12) T5,LAL (16-12) T5,UTA (14-12),POR (15-13),MEM (14-14),MIN (13-15),PHO (12-15),GSW (10-14),SAC (10-17),NOH (4-23),2012
"Feb 13, 2012",OKC (21-6),SAS (19-9),LAC (17-9),DAL (18-11),DEN (16-12) T5,HOU (16-12) T5,LAL (16-12) T5,POR (15-13),UTA (14-13),MEM (14-14),MIN (13-16),GSW (11-14),PHO (12-16),SAC (10-17),NOH (5-23),2012
"Feb 14, 2012",OKC (22-6),SAS (20-9),LAC (17-9),DAL (18-11),DEN (17-12) T5,LAL (17-12) T5,HOU (16-13),MEM (15-14) T8,POR (15-14) T8,UTA (14-14),MIN (13-16),GSW (11-14),PHO (12-17),SAC (10-18),NOH (5-23),2012
"Feb 15, 2012",OKC (22-7),SAS (21-9),LAC (18-9),DAL (19-11),LAL (17-12),DEN (17-13) T6,HOU (17-13) T6,MEM (16-14) T8,POR (16-14) T8,UTA (14-14),MIN (14-16),GSW (11-15),PHO (12-18),SAC (10-19),NOH (6-23),2012
"Feb 16, 2012",OKC (22-7),SAS (21-9),LAC (19-9),DAL (19-11),LAL (17-12),DEN (17-13) T6,HOU (17-13) T6,MEM (16-14),POR (16-15),UTA (14-14),MIN (14-16),GSW (11-15),PHO (12-18),SAC (10-19),NOH (6-23),2012
"Feb 17, 2012",OKC (23-7),SAS (21-9),LAC (19-9),DAL (20-11),LAL (18-12),DEN (17-14) T6,HOU (17-14) T6,MEM (17-14) T6,UTA (15-14),POR (16-15),MIN (15-16),GSW (11-16),PHO (12-19),SAC (10-20),NOH (7-23),2012
"Feb 18, 2012",OKC (23-7),SAS (22-9),LAC (19-10),DAL (20-11),LAL (18-12),MEM (18-14),DEN (17-14) T7,HOU (17-14) T7,POR (17-15),UTA (15-14),MIN (15-16),GSW (11-17),PHO (12-19),SAC (10-20),NOH (7-23),2012
"Feb 19, 2012",OKC (24-7),SAS (22-9),LAC (19-10),DAL (20-12),LAL (18-13),HOU (18-14) T6,MEM (18-14) T6,DEN (17-15) T8,POR (17-15) T8,MIN (16-16) T10,UTA (15-15) T10,PHO (13-19),GSW (11-17),SAC (10-21),NOH (7-23),2012
"Feb 20, 2012",OKC (25-7),SAS (23-9),DAL (21-12),LAC (19-11),LAL (19-13),HOU (19-14),DEN (18-15) T7,MEM (18-15) T7,POR (17-16),MIN (16-17),UTA (15-16),PHO (14-19),GSW (12-17),SAC (10-21),NOH (7-24),2012
"Feb 21, 2012",OKC (25-7),SAS (23-10),DAL (21-12),LAC (19-11),LAL (19-13),HOU (19-14),MEM (19-15),DEN (18-15),POR (18-16),MIN (16-17),UTA (15-16),PHO (14-19),GSW (12-17),SAC (10-22),NOH (7-25),2012
"Feb 22, 2012",OKC (26-7),SAS (23-10),LAC (20-11),DAL (21-13),LAL (20-13),HOU (20-14),MEM (19-15),DEN (18-16) T8,POR (18-16) T8,MIN (17-17),UTA (15-17),GSW (13-17),PHO (14-20),SAC (11-22),NOH (8-25),2012
"Feb 23, 2012",OKC (27-7),SAS (24-10),LAC (20-11),DAL (21-13),HOU (20-14) T5,LAL (20-14) T5,MEM (19-15),POR (18-16),DEN (18-17),MIN (17-17),UTA (15-17),GSW (13-17),PHO (14-20),SAC (11-22),NOH (8-25),2012
"Feb 28, 2012",OKC (27-7),SAS (24-10),LAC (20-12),DAL (21-14) T4,HOU (21-14) T4,LAL (20-14),MEM (19-15),POR (18-16),DEN (18-17) T9,MIN (18-17) T9,UTA (15-18),GSW (13-18),PHO (14-20),SAC (12-22),NOH (8-26),2012
"Feb 29, 2012",OKC (28-7),SAS (24-11),LAC (20-12),LAL (21-14),DAL (21-15) T5,HOU (21-15) T5,MEM (20-15),DEN (19-17),POR (18-17),MIN (18-18),UTA (16-18),GSW (14-18),PHO (14-20),SAC (12-22),NOH (8-27),2012
"Mar 1, 2012",OKC (29-7),SAS (24-11),LAC (21-12),LAL (21-14),DAL (21-15) T5,HOU (21-15) T5,MEM (20-15),DEN (19-17),POR (18-18),MIN (18-19),UTA (16-18),GSW (14-18),PHO (15-20),SAC (12-23),NOH (8-27),2012
"Mar 2, 2012",OKC (29-7),SAS (25-11),LAC (21-13),LAL (22-14),MEM (21-15),DAL (21-16) T6,HOU (21-16) T6,DEN (20-17),POR (18-18),MIN (18-19),UTA (17-18),PHO (16-20),GSW (14-19),SAC (12-24),NOH (9-27),2012
"Mar 3, 2012",OKC (29-8),SAS (25-11),LAC (21-13),LAL (22-14),MEM (22-15),DAL (22-16),HOU (21-16),DEN (20-17),MIN (19-19),POR (18-19),UTA (17-19),PHO (16-20),GSW (14-19),SAC (12-24),NOH (9-28),2012
"Mar 4, 2012",OKC (29-8),SAS (25-12),LAC (22-13),LAL (23-14),MEM (22-15),DAL (22-16),DEN (21-17) T7,HOU (21-17) T7,MIN (19-19),POR (18-19),UTA (17-19),PHO (17-20),GSW (14-20),SAC (12-25),NOH (9-28),2012
"Mar 5, 2012",OKC (30-8),SAS (25-12),LAL (23-14),LAC (22-14),MEM (22-15),DAL (22-17) T6,DEN (22-17) T6,HOU (21-17),MIN (20-19),POR (19-19),UTA (18-19),PHO (17-20),GSW (15-20),SAC (12-26),NOH (9-29),2012
"Mar 6, 2012",OKC (30-8),SAS (25-12),LAC (22-14),LAL (23-15),MEM (22-15),DAL (23-17),DEN (22-17),HOU (21-18),MIN (20-19),POR (19-19),UTA (18-19),PHO (17-20),GSW (15-20),SAC (12-26),NOH (9-29),2012
"Mar 7, 2012",OKC (31-8),SAS (26-12),MEM (23-15),LAC (22-15),LAL (23-16),DAL (23-17),DEN (22-18),HOU (21-19) T8,MIN (21-19) T8,UTA (19-19),POR (19-20),PHO (17-21),GSW (15-21),SAC (13-26),NOH (9-30),2012
"Mar 8, 2012",OKC (31-8),SAS (26-12),MEM (23-15),LAC (22-15),LAL (23-16),DAL (23-18),DEN (22-18),HOU (21-19) T8,MIN (21-19) T8,UTA (19-19),POR (19-20),PHO (18-21),GSW (15-21),SAC (13-26),NOH (9-30),2012
"Mar 9, 2012",OKC (31-9),SAS (26-13),LAC (23-15) T3,MEM (23-15) T3,LAL (24-16),DEN (23-18),DAL (23-19),HOU (21-19),MIN (21-20),UTA (19-20),POR (19-21),PHO (18-21),GSW (15-21),SAC (14-26),NOH (9-31),2012
"Mar 10, 2012",OKC (32-9),SAS (26-13),LAC (23-15),LAL (24-16),MEM (23-16),DEN (23-18),HOU (22-19),DAL (23-20),MIN (21-21),POR (20-21),PHO (19-21) T11,UTA (19-21) T11,GSW (16-21),SAC (14-26),NOH (10-31),2012
"Mar 11, 2012",OKC (32-9),SAS (26-13),LAL (25-16),MEM (24-16),LAC (23-16),DEN (23-19),DAL (23-20),HOU (22-20),MIN (21-21),POR (20-21),PHO (19-21) T11,UTA (19-21) T11,GSW (17-21),SAC (14-27),NOH (10-31),2012
"Mar 12, 2012",OKC (32-9),SAS (27-13),LAL (25-16),MEM (24-16),LAC (23-17),DEN (23-19),DAL (23-20),HOU (22-20),MIN (22-21),POR (20-21) T10,UTA (20-21) T10,PHO (19-22),GSW (17-21),SAC (14-27),NOH (10-32),2012
"Mar 13, 2012",OKC (32-10),SAS (27-13),LAL (26-16),MEM (24-17),LAC (23-17),DEN (24-19),DAL (24-20),HOU (23-20),MIN (22-21),UTA (20-21),POR (20-22),PHO (19-22),GSW (18-21),SAC (14-28),NOH (10-32),2012
"Mar 14, 2012",OKC (32-10),SAS (28-13),LAL (27-16),LAC (24-17) T4,MEM (24-17) T4,DEN (24-19),DAL (24-20) T7,HOU (24-20) T7,MIN (22-21),PHO (20-22) T10,UTA (20-22) T10,POR (20-23),GSW (18-22),SAC (14-29),NOH (10-33),2012
"Mar 15, 2012",OKC (33-10),SAS (28-13),LAL (27-16),MEM (24-17),LAC (24-18),DAL (25-20),DEN (24-20) T7,HOU (24-20) T7,MIN (22-22),PHO (21-22) T10,UTA (21-22) T10,POR (20-23),GSW (18-22),SAC (14-29),NOH (10-34),2012
"Mar 16, 2012",OKC (33-11),SAS (29-13),LAL (28-16),LAC (24-18) T4,MEM (24-18) T4,DAL (25-20),DEN (24-20) T7,HOU (24-20) T7,PHO (22-22),MIN (22-23),UTA (21-22),POR (21-23),GSW (18-23),SAC (15-29),NOH (10-34),2012
"Mar 17, 2012",OKC (33-11),SAS (29-14),LAL (28-16),LAC (25-18),MEM (24-18),DAL (26-20),DEN (25-20),HOU (24-21),PHO (22-22) T9,UTA (22-22) T9,MIN (22-23),POR (21-23),GSW (18-24),SAC (15-29),NOH (11-34),2012
"Mar 18, 2012",OKC (34-11),SAS (29-14),LAL (28-17),LAC (26-18),MEM (25-18),DAL (26-20),DEN (25-20),HOU (24-22),PHO (23-22) T9,UTA (23-22) T9,MIN (22-24),POR (21-24),GSW (18-24),SAC (16-29),NOH (11-34),2012
"Mar 19, 2012",OKC (34-11),SAS (29-14),LAL (28-17),LAC (26-18),MEM (25-18),DAL (27-20),DEN (25-21),HOU (24-22),PHO (23-22) T9,UTA (23-22) T9,MIN (23-24),POR (21-24),GSW (18-25),SAC (16-29),NOH (11-34),2012
"Mar 20, 2012",OKC (34-12),SAS (29-14),LAL (28-18),LAC (26-19),DAL (27-20),MEM (25-19),DEN (25-21),HOU (25-22),UTA (24-22),PHO (23-23),MIN (23-24),POR (21-25),GSW (18-25),SAC (17-29),NOH (11-34),2012
"Mar 21, 2012",OKC (35-12),SAS (30-14),LAL (29-18),MEM (25-19),LAC (26-20),DAL (27-21),DEN (26-21),HOU (25-22),UTA (24-22),PHO (23-24),MIN (23-25),POR (21-25),GSW (19-25),SAC (17-29),NOH (11-35),2012
"Mar 22, 2012",OKC (35-12),SAS (30-14),LAL (29-18),DAL (27-21),MEM (25-20),DEN (26-21) T6,LAC (26-21) T6,HOU (26-22),UTA (25-22),PHO (23-24),MIN (23-25),POR (22-25),GSW (19-26),SAC (17-30),NOH (12-35),2012
"Mar 23, 2012",OKC (36-12),SAS (31-14),LAL (30-18),MEM (25-20),LAC (26-21),DAL (27-22),DEN (26-22) T7,HOU (26-22) T7,UTA (26-22) T7,PHO (24-24),MIN (23-26),POR (22-26),GSW (19-26),SAC (17-30),NOH (12-35),2012
"Mar 24, 2012",OKC (36-12),SAS (32-14),LAL (30-18),LAC (27-21),DAL (28-22),MEM (25-21),DEN (26-22) T7,UTA (26-22) T7,HOU (26-23),PHO (24-24),MIN (23-26),POR (22-26),GSW (20-26),SAC (17-31),NOH (12-36),2012
"Mar 25, 2012",OKC (37-12),SAS (33-14),LAL (30-19),LAC (27-21),DAL (28-22),MEM (26-21),DEN (26-23) T7,HOU (26-23) T7,UTA (26-23) T7,PHO (25-24),MIN (24-26),POR (23-26),GSW (20-27),SAC (17-31),NOH (12-36),2012
"Mar 26, 2012",OKC (37-12),SAS (33-14),LAL (30-19),LAC (28-21),DAL (28-22),MEM (26-21),DEN (27-23) T7,HOU (27-23) T7,UTA (27-23) T7,PHO (25-24),MIN (24-26),POR (23-26),GSW (20-27),SAC (17-32),NOH (12-37),2012
"Mar 27, 2012",OKC (38-12),SAS (34-14),LAL (31-19),LAC (28-21),DAL (29-22),MEM (27-21),DEN (27-23) T7,UTA (27-23) T7,HOU (27-24),PHO (25-25),MIN (24-27),POR (23-27),GSW (20-28),SAC (17-32),NOH (12-37),2012
"Mar 28, 2012",OKC (38-12),SAS (35-14),LAL (31-19),LAC (29-21),DAL (29-22),MEM (27-21),DEN (27-24) T7,HOU (27-24) T7,UTA (27-24) T7,PHO (25-26),MIN (25-27),POR (23-27),GSW (20-29),SAC (17-33),NOH (13-37),2012
"Mar 29, 2012",OKC (39-12),SAS (35-14),LAL (31-20),LAC (29-21),MEM (27-21),DAL (29-23),DEN (27-24) T7,HOU (27-24) T7,UTA (27-24) T7,PHO (25-26),MIN (25-27),POR (24-27),GSW (20-29),SAC (17-33),NOH (13-38),2012
"Mar 30, 2012",OKC (39-12),SAS (35-14),LAL (31-20),LAC (30-21),DAL (30-23),MEM (27-22),DEN (28-24) T7,HOU (28-24) T7,UTA (27-25),PHO (25-26),MIN (25-28),POR (24-28),GSW (20-30),SAC (18-33),NOH (13-38),2012
"Mar 31, 2012",OKC (39-12),SAS (36-14),LAL (32-20),LAC (31-21),DAL (30-23),MEM (28-22),DEN (28-24) T7,HOU (28-24) T7,UTA (27-26),PHO (25-26),MIN (25-28),POR (24-28),GSW (20-30),SAC (18-34),NOH (13-39),2012
"Apr 1, 2012",OKC (40-12),SAS (36-14),LAL (33-20),LAC (31-21),DAL (30-23),MEM (28-22),DEN (29-24),HOU (28-25),UTA (27-26),PHO (26-26),POR (25-28),MIN (25-29),GSW (20-31),SAC (18-34),NOH (13-40),2012
"Apr 2, 2012",OKC (40-13),SAS (36-14),LAL (33-20),LAC (32-21),MEM (29-22),DAL (30-24),DEN (29-24),HOU (29-25),UTA (28-26),PHO (26-26),POR (25-29),MIN (25-30),GSW (20-31),SAC (19-34),NOH (13-40),2012
"Apr 3, 2012",OKC (40-13),SAS (37-14),LAL (34-20),LAC (32-21),MEM (30-22),DAL (30-24),DEN (29-24),HOU (29-25),UTA (28-26),PHO (27-26),POR (25-29),MIN (25-30),GSW (20-32),SAC (19-35),NOH (13-40),2012
"Apr 4, 2012",OKC (40-14),SAS (38-14),LAL (35-20),LAC (32-22),MEM (30-23),DAL (31-24),DEN (29-25) T7,HOU (29-25) T7,PHO (28-26),UTA (28-27),POR (26-29),MIN (25-31),GSW (21-32),SAC (19-35),NOH (14-40),2012
