date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,season
"Jan 19, 2014",IND (32-7),MIA (29-11),ATL (20-19) T3,TOR (20-19) T3,CHI (19-20) T5,WAS (19-20) T5,DET (17-23),BRK (16-22),CHA (17-25),CLE (15-25) T10,NYK (15-25) T10,BOS (14-28),PHI (13-27),ORL (11-30),MIL (7-33),2014
"Jan 20, 2014",IND (33-7),MIA (29-12),ATL (21-19),CHI (20-20) T4,TOR (20-20) T4,WAS (20-20) T4,BRK (17-22),CHA (18-25),DET (17-24),CLE (15-26) T10,NYK (15-26) T10,BOS (14-28),PHI (13-28),ORL (11-30),MIL (7-33),2014
"Jan 21, 2014",IND (33-7),MIA (30-12),ATL (21-19),CHI (20-20) T4,TOR (20-20) T4,WAS (20-20) T4,BRK (18-22),CHA (18-25),DET (17-24),CLE (15-26) T10,NYK (15-26) T10,BOS (14-29),PHI (13-28),ORL (11-31),MIL (7-33),2014
"Jan 22, 2014",IND (33-8),MIA (30-12),ATL (22-19),CHI (21-20) T4,TOR (21-20) T4,WAS (20-21),BRK (18-22),CHA (19-25),DET (17-25),CLE (15-27) T10,NYK (15-27) T10,BOS (15-29),PHI (14-28),ORL (11-32),MIL (8-33),2014
"Jan 23, 2014",IND (33-8),MIA (31-12),ATL (22-19),CHI (21-20) T4,TOR (21-20) T4,WAS (20-21),BRK (18-22),CHA (19-25),DET (17-25),CLE (15-27) T10,NYK (15-27) T10,BOS (15-29),PHI (14-28),ORL (11-32),MIL (8-33),2014
"Jan 24, 2014",IND (34-8),MIA (31-12),ATL (22-20) T3,TOR (22-20) T3,CHI (21-21) T5,WAS (21-21) T5,BRK (19-22),CHA (19-26),DET (17-26),CLE (16-27) T10,NYK (16-27) T10,BOS (15-30),PHI (14-29),ORL (12-32),MIL (8-34),2014
"Jan 25, 2014",IND (34-9),MIA (31-12),ATL (23-20),CHI (22-21) T4,TOR (22-21) T4,WAS (21-22),BRK (19-22),CHA (19-27),DET (17-26),CLE (16-27) T10,NYK (16-27) T10,BOS (15-30),PHI (14-30),ORL (12-32),MIL (8-35),2014
"Jan 26, 2014",IND (34-9),MIA (32-12),ATL (23-20),CHI (22-21) T4,TOR (22-21) T4,WAS (21-22),BRK (20-22),CHA (19-27),DET (17-27) T9,NYK (17-27) T9,CLE (16-28),BOS (15-31),PHI (14-30),ORL (12-33),MIL (8-35),2014
"Jan 27, 2014",IND (34-9),MIA (32-12),ATL (23-21) T3,TOR (23-21) T3,CHI (22-22),WAS (21-22),BRK (20-23),CHA (19-27),DET (17-27) T9,NYK (17-27) T9,CLE (16-28),BOS (15-31),PHI (14-31),ORL (12-33),MIL (8-36),2014
"Jan 28, 2014",IND (35-9),MIA (32-12),ATL (23-21) T3,TOR (23-21) T3,CHI (22-22) T5,WAS (22-22) T5,BRK (20-23),CHA (19-27),DET (18-27) T9,NYK (18-27) T9,CLE (16-29),BOS (15-32),PHI (14-31),ORL (12-34),MIL (8-36),2014
"Jan 29, 2014",IND (35-9),MIA (32-13),TOR (24-21),ATL (23-21),CHI (23-22),WAS (22-23),BRK (20-23),CHA (20-27),DET (18-27) T9,NYK (18-27) T9,CLE (16-29),PHI (15-31),BOS (15-33),ORL (12-35),MIL (8-37),2014
"Jan 30, 2014",IND (35-10),MIA (32-13),TOR (24-21),ATL (23-21),CHI (23-22),WAS (22-23),BRK (20-23),CHA (20-27),NYK (19-27),DET (18-27),CLE (16-30),PHI (15-31),BOS (15-33),ORL (12-35),MIL (8-37),2014
"Jan 31, 2014",IND (35-10),MIA (32-13),TOR (25-21),ATL (24-21),CHI (23-22),WAS (22-23),BRK (20-24),CHA (21-27),NYK (19-27),DET (18-27),CLE (16-30),PHI (15-32),BOS (15-33),ORL (13-35),MIL (8-38),2014
"Feb 1, 2014",IND (36-10),MIA (33-13),ATL (25-21),TOR (25-22),CHI (23-23) T5,WAS (23-23) T5,BRK (20-25),CHA (21-28),DET (19-27),NYK (19-28),CLE (16-31),BOS (15-33) T12,PHI (15-33) T12,ORL (13-35),MIL (8-39),2014
"Feb 2, 2014",IND (36-10),MIA (33-13),ATL (25-21),TOR (25-22),CHI (23-23) T5,WAS (23-23) T5,BRK (20-25),CHA (21-28),DET (19-27),NYK (19-28),CLE (16-31),BOS (16-33),PHI (15-33),ORL (13-36),MIL (8-39),2014
"Feb 3, 2014",IND (37-10),MIA (34-13),ATL (25-21),TOR (26-22),WAS (24-23),CHI (23-24),BRK (21-25),CHA (21-28),DET (19-28),NYK (19-29),CLE (16-32),BOS (16-33),PHI (15-34),ORL (13-37),MIL (9-39),2014
"Feb 4, 2014",IND (38-10),MIA (34-13),TOR (26-22),ATL (25-22),WAS (24-23),CHI (24-24),BRK (21-25),CHA (22-28),DET (19-28),NYK (19-29),CLE (16-32),BOS (16-33),PHI (15-34),ORL (13-37),MIL (9-39),2014
"Feb 5, 2014",IND (38-10),MIA (35-13),TOR (26-23),ATL (25-23),CHI (24-24) T5,WAS (24-24) T5,BRK (21-25),CHA (22-28),DET (19-29),NYK (19-30),BOS (17-33),CLE (16-33),PHI (15-35),ORL (14-37),MIL (9-40),2014
"Feb 6, 2014",IND (38-10),MIA (35-13),TOR (26-23),ATL (25-23),WAS (24-24),CHI (24-25),BRK (22-25),CHA (22-28),DET (19-29),NYK (19-30),BOS (17-33),CLE (16-33),PHI (15-35),ORL (14-37),MIL (9-40),2014
"Feb 7, 2014",IND (39-10),MIA (35-13),ATL (25-23),TOR (26-24),CHI (24-25) T5,WAS (24-25) T5,BRK (22-26),CHA (22-28),DET (20-29),NYK (20-30),BOS (18-33),CLE (17-33),PHI (15-36),ORL (15-37),MIL (9-40),2014
"Feb 8, 2014",IND (39-10),MIA (35-14),TOR (26-24),ATL (25-24),CHI (24-25) T5,WAS (24-25) T5,BRK (22-26),CHA (22-29),DET (21-29),NYK (20-30),BOS (18-33),CLE (17-33),PHI (15-36),ORL (15-37),MIL (9-41),2014
"Feb 9, 2014",IND (39-11),MIA (35-14),TOR (26-24),ATL (25-24),CHI (25-25) T5,WAS (25-25) T5,BRK (23-26),CHA (22-29),DET (21-29),NYK (20-31),CLE (18-33),BOS (18-34),ORL (16-37),PHI (15-37),MIL (9-41),2014
"Feb 10, 2014",IND (40-11),MIA (35-14),TOR (27-24),ATL (25-24),CHI (25-25) T5,WAS (25-25) T5,BRK (23-26),CHA (22-29) T8,DET (22-29) T8,NYK (20-31),BOS (19-34),CLE (18-33),ORL (16-37),PHI (15-38),MIL (9-42),2014
"Feb 11, 2014",IND (40-11),MIA (36-14),TOR (27-24),CHI (26-25),ATL (25-25),WAS (25-26),BRK (23-26),CHA (23-29),DET (22-29),NYK (20-31),CLE (19-33),BOS (19-34),ORL (16-37),PHI (15-38),MIL (9-42),2014
"Feb 12, 2014",IND (40-12),MIA (37-14),TOR (28-24),CHI (26-25),ATL (25-26),WAS (25-27),BRK (24-26),CHA (23-30),DET (22-30),NYK (20-32),CLE (20-33),BOS (19-35),ORL (16-38),PHI (15-39),MIL (9-43),2014
"Feb 13, 2014",IND (40-12),MIA (37-14),TOR (28-24),CHI (27-25),ATL (25-26),WAS (25-27),BRK (24-27),CHA (23-30),DET (22-30),NYK (20-32),CLE (20-33),BOS (19-35),ORL (16-38),PHI (15-39),MIL (9-43),2014
"Feb 18, 2014",IND (41-12),MIA (38-14),TOR (29-24),CHI (27-25),ATL (25-27),WAS (25-28),BRK (24-27),CHA (24-30),DET (22-31),CLE (21-33),NYK (20-33),BOS (19-35),ORL (16-39),PHI (15-40),MIL (10-43),2014
"Feb 19, 2014",IND (41-13),MIA (38-14),TOR (29-25),CHI (28-25),WAS (26-28),BRK (25-27),ATL (25-28),CHA (25-30),DET (22-32),CLE (22-33),NYK (21-33),BOS (19-36),ORL (16-40),PHI (15-40),MIL (10-43),2014
"Feb 20, 2014",IND (41-13),MIA (39-14),TOR (29-25),CHI (28-25),WAS (26-28),BRK (25-27),ATL (25-28),CHA (25-30),DET (22-32),CLE (22-33),NYK (21-33),BOS (19-36),ORL (16-40),PHI (15-40),MIL (10-44),2014
"Feb 21, 2014",IND (41-13),MIA (39-14),TOR (30-25),CHI (29-25),WAS (26-28),BRK (25-27),CHA (26-30),ATL (25-29),DET (23-32),CLE (22-34),NYK (21-34),BOS (19-37),ORL (17-40),PHI (15-41),MIL (10-44),2014
"Feb 22, 2014",IND (42-13),MIA (39-14),TOR (30-25),CHI (29-25),WAS (27-28),CHA (27-30),ATL (26-29),BRK (25-28),DET (23-33),CLE (22-34),NYK (21-35),BOS (19-38),ORL (17-40),PHI (15-41),MIL (10-45),2014
"Feb 23, 2014",IND (42-13),MIA (40-14),TOR (31-25),CHI (29-26),WAS (28-28),BRK (26-28),CHA (27-30),ATL (26-29),DET (23-33),CLE (22-35),NYK (21-35),BOS (19-38),ORL (17-41),PHI (15-41),MIL (10-45),2014
"Feb 24, 2014",IND (42-13),MIA (40-14),TOR (31-25),CHI (29-26),WAS (28-28),BRK (26-28),CHA (27-30),ATL (26-29),DET (23-34),CLE (22-35),NYK (21-36),BOS (19-39),ORL (17-41),PHI (15-42),MIL (11-45),2014
"Feb 25, 2014",IND (43-13),MIA (40-14),TOR (32-25),CHI (30-26),WAS (29-28),BRK (26-28),CHA (27-30),ATL (26-30),DET (23-34),CLE (22-36),NYK (21-36),BOS (19-39),ORL (17-42),PHI (15-42),MIL (11-45),2014
"Feb 26, 2014",IND (43-13),MIA (40-14),TOR (32-25),CHI (31-26),WAS (29-28),CHA (27-30),BRK (26-29),ATL (26-31),DET (23-35),CLE (23-36),NYK (21-36),BOS (20-39),ORL (18-42),PHI (15-43),MIL (11-45),2014
"Feb 27, 2014",IND (44-13),MIA (41-14),TOR (32-26),CHI (31-26),WAS (30-28),BRK (27-29),CHA (27-30),ATL (26-31),DET (23-35),CLE (23-36),NYK (21-37),BOS (20-39),ORL (18-42),PHI (15-43),MIL (11-46),2014
"Feb 28, 2014",IND (44-13),MIA (41-14),CHI (32-26) T3,TOR (32-26) T3,WAS (30-28),BRK (27-29),CHA (27-31),ATL (26-31),CLE (24-36),DET (23-35),NYK (21-38),BOS (20-39),ORL (18-42),PHI (15-43),MIL (11-46),2014
"Mar 1, 2014",IND (45-13),MIA (42-14),CHI (32-26) T3,TOR (32-26) T3,WAS (31-28),BRK (28-29),CHA (27-31),ATL (26-31),CLE (24-37),DET (23-36),NYK (21-38),BOS (20-40),ORL (18-43),PHI (15-44),MIL (11-47),2014
"Mar 2, 2014",IND (46-13),MIA (42-14),CHI (33-26) T3,TOR (33-26) T3,WAS (31-28),BRK (28-29),CHA (27-32),ATL (26-32),CLE (24-37),DET (23-36),NYK (21-39),BOS (20-40),ORL (19-43),PHI (15-45),MIL (11-47),2014
"Mar 3, 2014",IND (46-13),MIA (43-14),TOR (33-26),CHI (33-27),WAS (31-29),BRK (29-29),CHA (27-33),ATL (26-32),DET (24-36),CLE (24-37),NYK (21-40),BOS (20-40),ORL (19-43),PHI (15-45),MIL (12-47),2014
"Mar 4, 2014",IND (46-14),MIA (43-15),TOR (33-26),CHI (33-27),WAS (31-29),BRK (29-29),CHA (27-33),ATL (26-32),DET (24-36),CLE (24-38),NYK (21-40),BOS (20-40),ORL (19-43),PHI (15-46),MIL (12-47),2014
"Mar 5, 2014",IND (46-15),MIA (43-15),TOR (33-26),CHI (34-27),WAS (32-29),BRK (30-29),CHA (28-33),ATL (26-33),DET (24-37),CLE (24-38),NYK (22-40),BOS (20-41),ORL (19-44),PHI (15-46),MIL (12-48),2014
"Mar 6, 2014",IND (46-15),MIA (43-16),TOR (33-26),CHI (34-27),WAS (32-29),BRK (30-29),CHA (28-33),ATL (26-33),DET (24-37),CLE (24-38),NYK (22-40),BOS (20-41),ORL (19-44),PHI (15-46),MIL (12-48),2014
"Mar 7, 2014",IND (46-16),MIA (43-16),TOR (34-26),CHI (34-28),WAS (32-29),BRK (30-30),CHA (29-33),ATL (26-34),DET (24-38),CLE (24-39),NYK (23-40),BOS (21-41),ORL (19-44),PHI (15-46),MIL (12-49),2014
"Mar 8, 2014",IND (46-16),MIA (43-16),TOR (34-26),CHI (34-28),WAS (33-29),BRK (30-30),CHA (29-34),ATL (26-35),DET (24-38),CLE (24-40) T10,NYK (24-40) T10,BOS (21-41),ORL (19-45),PHI (15-47),MIL (12-50),2014
"Mar 9, 2014",IND (46-17),MIA (43-17),TOR (35-26),CHI (35-28),WAS (33-29),BRK (31-30),CHA (29-34),ATL (26-35),DET (24-39),CLE (24-40) T10,NYK (24-40) T10,BOS (22-41),ORL (19-45),PHI (15-47),MIL (12-50),2014
"Mar 10, 2014",IND (46-17),MIA (44-17),TOR (35-27),CHI (35-28),WAS (33-30),BRK (32-30),CHA (30-34),ATL (27-35),NYK (25-40),DET (24-39),CLE (24-40),BOS (22-41),ORL (19-46),PHI (15-48),MIL (13-50),2014
"Mar 11, 2014",IND (47-17),MIA (44-17),TOR (35-27),CHI (35-29),WAS (33-30),BRK (32-30),CHA (30-34),ATL (27-35),DET (25-39),NYK (25-40),CLE (24-40),BOS (22-42),ORL (19-46),PHI (15-48),MIL (13-51),2014
"Mar 12, 2014",IND (47-17),MIA (44-18),TOR (36-27),CHI (35-29),BRK (33-30),WAS (33-31),CHA (31-34),ATL (27-35),NYK (26-40),CLE (25-40) T10,DET (25-40) T10,BOS (22-43),ORL (19-47),PHI (15-49),MIL (13-51),2014
"Mar 13, 2014",IND (47-17),MIA (44-18),TOR (36-27),CHI (36-29),BRK (33-30),WAS (33-31),CHA (31-34),ATL (28-35),NYK (26-40),CLE (25-40) T10,DET (25-40) T10,BOS (22-43),ORL (19-47),PHI (15-49),MIL (13-52),2014
"Mar 14, 2014",IND (48-17),MIA (44-19),TOR (37-27),CHI (36-29),BRK (33-30),WAS (34-31),CHA (32-34),ATL (28-35),CLE (26-40) T9,NYK (26-40) T9,DET (25-40),BOS (22-44),ORL (19-48),PHI (15-50),MIL (13-52),2014
"Mar 15, 2014",IND (49-17),MIA (44-19),TOR (37-27),CHI (37-29),WAS (35-31),BRK (33-31),CHA (32-34),ATL (29-35),NYK (27-40),CLE (26-40),DET (25-41),BOS (22-44),ORL (19-48),PHI (15-51),MIL (13-53),2014
"Mar 16, 2014",IND (49-17),MIA (45-19),TOR (37-28),CHI (37-29),WAS (35-31),BRK (33-31),CHA (33-34),ATL (29-35),NYK (27-40),CLE (26-41),DET (25-41),BOS (22-45),ORL (19-48),PHI (15-51),MIL (13-54),2014
"Mar 17, 2014",IND (50-17),MIA (45-19),TOR (37-28),CHI (37-30),WAS (35-31),BRK (34-31),CHA (33-35),ATL (30-35),NYK (27-40),CLE (26-41),DET (25-41),BOS (22-46),ORL (19-48),PHI (15-52),MIL (13-54),2014
"Mar 18, 2014",IND (50-17),MIA (46-19),TOR (37-29),CHI (37-30),BRK (34-31),WAS (35-32),CHA (33-35),ATL (31-35),NYK (27-40),CLE (26-42),DET (25-41),BOS (22-46),ORL (19-49),PHI (15-52),MIL (13-55),2014
"Mar 19, 2014",IND (50-18),MIA (46-20),TOR (38-29),CHI (38-30),BRK (35-31),WAS (35-32),CHA (33-36),ATL (31-35),NYK (28-40),CLE (26-42),DET (25-42),BOS (23-46),ORL (19-50),PHI (15-53),MIL (13-55),2014
"Mar 20, 2014",IND (50-18),MIA (46-20),TOR (38-29),CHI (38-30),BRK (35-31),WAS (35-33),CHA (33-36),ATL (31-35),NYK (28-40),CLE (26-43),DET (25-42),BOS (23-46),ORL (19-50),PHI (15-53),MIL (13-56),2014
"Mar 21, 2014",IND (51-18),MIA (47-20),TOR (38-30),CHI (38-31),BRK (36-31),WAS (36-33),CHA (33-36),ATL (31-36),NYK (29-40),CLE (26-43),DET (25-43),BOS (23-47),ORL (19-50),PHI (15-54),MIL (13-56),2014
"Mar 22, 2014",IND (51-19),MIA (47-21),TOR (38-30),CHI (39-31),BRK (36-31),WAS (36-33),CHA (34-36),ATL (31-36),NYK (29-40),CLE (26-44),DET (25-44),BOS (23-47),ORL (19-51),PHI (15-55),MIL (13-56),2014
"Mar 23, 2014",IND (51-19),MIA (47-21),TOR (39-30),CHI (39-31),BRK (37-31),WAS (36-34),CHA (34-36),ATL (31-37),NYK (29-41),CLE (27-44),DET (25-44),BOS (23-47),ORL (19-52),PHI (15-55),MIL (13-57),2014
"Mar 24, 2014",IND (51-20),MIA (48-21),TOR (39-30),CHI (40-31),BRK (37-32),WAS (36-34),CHA (34-37),ATL (31-38),NYK (29-41),CLE (27-44),DET (26-44),BOS (23-47),ORL (19-52),PHI (15-56),MIL (13-58),2014
"Mar 25, 2014",IND (51-20),MIA (48-21),CHI (40-31),TOR (39-31),BRK (37-32),WAS (36-34),CHA (34-37),ATL (31-38),NYK (29-42),CLE (28-44),DET (26-44),BOS (23-47),ORL (20-52),PHI (15-56),MIL (13-58),2014
"Mar 26, 2014",IND (52-20),MIA (48-22),CHI (40-31) T3,TOR (40-31) T3,BRK (37-33),WAS (36-35),CHA (35-37),ATL (31-39),NYK (30-42),CLE (29-44),DET (26-45),BOS (23-48),ORL (20-52),PHI (15-56),MIL (13-58),2014
"Mar 27, 2014",IND (52-20),MIA (48-22),CHI (40-31) T3,TOR (40-31) T3,BRK (37-33),WAS (36-35),CHA (35-37),ATL (31-40),NYK (30-42),CLE (29-44),DET (26-45),BOS (23-48),ORL (20-52),PHI (15-57),MIL (14-58),2014
"Mar 28, 2014",IND (52-21),MIA (49-22),TOR (41-31),CHI (40-32),BRK (38-33),WAS (37-35),CHA (35-38),ATL (31-40),NYK (30-43),CLE (29-45),DET (26-46),BOS (23-49),ORL (21-52),PHI (15-57),MIL (14-58),2014
"Mar 29, 2014",IND (52-21),MIA (50-22),TOR (41-31),CHI (40-32),BRK (38-33),WAS (38-35),CHA (35-38),ATL (31-41),NYK (30-43),CLE (29-45),DET (26-47),BOS (23-49),ORL (21-52),PHI (16-57),MIL (14-59),2014
"Mar 30, 2014",IND (52-22),MIA (50-22),TOR (42-31),CHI (41-32),BRK (39-33),WAS (38-35),CHA (35-38),ATL (31-41),NYK (31-43),CLE (30-45),DET (26-47),BOS (23-50),ORL (21-53),PHI (16-57),MIL (14-59),2014
"Mar 31, 2014",MIA (51-22),IND (52-23),CHI (42-32) T3,TOR (42-32) T3,BRK (39-33),WAS (38-36),CHA (36-38),ATL (32-41),NYK (32-43),CLE (30-45),DET (27-47),BOS (23-51),ORL (21-53),PHI (16-58),MIL (14-60),2014
"Apr 1, 2014",MIA (51-22),IND (52-23),CHI (42-32) T3,TOR (42-32) T3,BRK (40-33),WAS (38-36),CHA (36-38),ATL (32-41),NYK (32-43),CLE (30-45),DET (27-47),BOS (23-51),ORL (21-53),PHI (16-58),MIL (14-60),2014
"Apr 2, 2014",MIA (52-22),IND (53-23),CHI (43-32) T3,TOR (43-32) T3,BRK (40-34),WAS (39-36),CHA (37-38),NYK (33-43),ATL (32-42),CLE (31-45),DET (27-48),BOS (23-52),ORL (21-54),PHI (16-59),MIL (14-61),2014
"Apr 3, 2014",MIA (52-22),IND (53-23),CHI (43-32) T3,TOR (43-32) T3,BRK (40-34),WAS (39-36),CHA (37-38),NYK (33-43),ATL (32-42),CLE (31-45),DET (27-48),BOS (23-52),ORL (21-54),PHI (16-59),MIL (14-61),2014
"Apr 4, 2014",MIA (52-23),IND (53-24),CHI (44-32) T3,TOR (44-32) T3,BRK (41-34),WAS (40-36),CHA (38-38),ATL (33-42),NYK (33-44),CLE (31-46),DET (27-49),BOS (23-53),ORL (21-55),PHI (17-59),MIL (14-62),2014
"Apr 5, 2014",MIA (52-23),IND (53-24),CHI (45-32) T3,TOR (45-32) T3,BRK (42-34),WAS (40-37),CHA (39-38),ATL (33-42),NYK (33-44),CLE (31-47),DET (28-49),BOS (23-54),ORL (22-55),PHI (17-60),MIL (14-63),2014
"Apr 6, 2014",MIA (53-23),IND (53-25),CHI (45-32) T3,TOR (45-32) T3,BRK (42-34),WAS (40-37),CHA (39-38),ATL (34-42),NYK (33-45),CLE (31-47),DET (28-49),BOS (23-54),ORL (22-55),PHI (17-60),MIL (14-63),2014
"Apr 8, 2014",MIA (53-24),IND (53-25),CHI (45-32) T3,TOR (45-32) T3,BRK (43-34),WAS (40-37),CHA (39-38),ATL (34-43),NYK (33-45),CLE (31-47),DET (29-49),BOS (23-54),ORL (22-55),PHI (17-60),MIL (14-63),2014
"Apr 9, 2014",IND (54-25),MIA (53-25),CHI (46-32) T3,TOR (46-32) T3,BRK (43-35),CHA (40-38) T6,WAS (40-38) T6,ATL (35-43),NYK (33-45),CLE (32-47),DET (29-50),BOS (23-55) T12,ORL (23-55) T12,PHI (17-61),MIL (14-64),2014
"Apr 10, 2014",IND (54-25),MIA (53-25),CHI (46-32) T3,TOR (46-32) T3,BRK (43-35),CHA (40-38) T6,WAS (40-38) T6,ATL (35-43),NYK (33-45),CLE (32-47),DET (29-50),BOS (23-55) T12,ORL (23-55) T12,PHI (17-61),MIL (14-64),2014
"Apr 11, 2014",MIA (54-25),IND (54-26),CHI (47-32),TOR (46-33),BRK (43-36),WAS (41-38),CHA (40-39),ATL (36-43),NYK (34-45),CLE (32-48),DET (29-51),BOS (24-55),ORL (23-56),PHI (17-62),MIL (15-64),2014
"Apr 12, 2014",IND (54-26) T1,MIA (54-26) T1,CHI (47-32),TOR (46-33),BRK (43-36),WAS (42-38),CHA (41-39),ATL (37-43),NYK (34-45),CLE (32-49),DET (29-51),BOS (25-55),ORL (23-56),PHI (17-63),MIL (15-65),2014
"Apr 13, 2014",IND (55-26),MIA (54-26),CHI (47-33) T3,TOR (47-33) T3,BRK (44-36),WAS (42-38),CHA (41-39),ATL (37-43),NYK (35-45),CLE (32-49),DET (29-52),BOS (25-55),ORL (23-57),PHI (17-63),MIL (15-65),2014
"Apr 14, 2014",IND (55-26),MIA (54-27),CHI (48-33) T3,TOR (48-33) T3,BRK (44-36),WAS (43-38),CHA (42-39),ATL (37-44),NYK (35-45),CLE (32-49),DET (29-52),BOS (25-56),ORL (23-58),PHI (18-63),MIL (15-66),2014
"Apr 15, 2014",IND (55-26),MIA (54-27),CHI (48-33) T3,TOR (48-33) T3,BRK (44-37),WAS (43-38),CHA (42-39),ATL (37-44),NYK (36-45),CLE (32-49),DET (29-52),BOS (25-56),ORL (23-58),PHI (18-63),MIL (15-66),2014
"Apr 16, 2014",IND (56-26),MIA (54-28),CHI (48-34) T3,TOR (48-34) T3,BRK (44-38) T5,WAS (44-38) T5,CHA (43-39),ATL (38-44),NYK (37-45),CLE (33-49),DET (29-53),BOS (25-57),ORL (23-59),PHI (19-63),MIL (15-67),2014
"Oct 30, 2014",BOS (1-0) T1,CHI (1-0) T1,CHO (1-0) T1,IND (1-0) T1,MIA (1-0) T1,TOR (1-0) T1,NYK (1-1) T7,WAS (1-1) T7,ATL (0-1) T9,BRK (0-1) T9,CLE (0-1) T9,DET (0-2) T9,MIL (0-1) T9,ORL (0-2) T9,PHI (0-1) T9,2015
"Oct 31, 2014",BOS (1-0) T1,CHO (1-0) T1,MIA (1-0) T1,TOR (1-0) T1,CHI (1-1) T5,CLE (1-1) T5,IND (1-1) T5,MIL (1-1) T5,NYK (1-1) T5,WAS (1-1) T5,ATL (0-1) T11,BRK (0-1) T11,DET (0-2) T11,ORL (0-2) T11,PHI (0-2) T11,2015
"Nov 1, 2014",MIA (2-0) T1,TOR (2-0) T1,CHI (2-1) T3,WAS (2-1) T3,ATL (1-1) T5,BOS (1-1) T5,BRK (1-1) T5,CHO (1-1) T5,CLE (1-1) T5,NYK (1-1) T5,IND (1-2) T11,MIL (1-2) T11,DET (0-3) T13,ORL (0-3) T13,PHI (0-3) T13,2015
"Nov 2, 2014",MIA (3-0),CHI (2-1) T2,NYK (2-1) T2,TOR (2-1) T2,WAS (2-1) T2,ATL (1-1) T6,BOS (1-1) T6,BRK (1-1) T6,CLE (1-1) T6,CHO (1-2) T10,IND (1-2) T10,MIL (1-2) T10,DET (0-3) T13,ORL (0-3) T13,PHI (0-3) T13,2015
"Nov 3, 2014",MIA (3-0),BRK (2-1) T2,CHI (2-1) T2,NYK (2-1) T2,TOR (2-1) T2,WAS (2-1) T2,ATL (1-1) T7,CLE (1-1) T7,BOS (1-2) T9,CHO (1-2) T9,IND (1-2) T9,MIL (1-2) T9,DET (0-3) T13,ORL (0-3) T13,PHI (0-4) T13,2015
"Nov 4, 2014",CHI (3-1) T1,MIA (3-1) T1,TOR (3-1) T1,WAS (3-1) T1,BRK (2-1),MIL (2-2) T6,NYK (2-2) T6,ATL (1-1) T6,BOS (1-2) T9,CLE (1-2) T9,CHO (1-3) T11,IND (1-3) T11,DET (0-3) T13,ORL (0-4) T13,PHI (0-4) T13,2015
"Nov 5, 2014",CHI (4-1) T1,TOR (4-1) T1,WAS (4-1) T1,MIA (3-2),BRK (2-2),CHO (2-3) T6,MIL (2-3) T6,NYK (2-3) T6,ATL (1-2),BOS (1-3) T10,CLE (1-3) T10,DET (1-3) T10,IND (1-4) T13,ORL (1-4) T13,PHI (0-5),2015
"Nov 6, 2014",CHI (4-1) T1,TOR (4-1) T1,WAS (4-1) T1,MIA (3-2),BRK (2-2),CHO (2-3) T6,MIL (2-3) T6,NYK (2-3) T6,ATL (1-2),BOS (1-3) T10,CLE (1-3) T10,DET (1-3) T10,IND (1-4) T13,ORL (1-4) T13,PHI (0-5),2015
"Nov 7, 2014",CHI (5-1) T1,TOR (5-1) T1,WAS (4-2),BRK (3-2) T4,MIA (3-2) T4,CHO (3-3),BOS (2-3) T7,CLE (2-3) T7,DET (2-3) T7,MIL (2-4) T10,NYK (2-4) T10,ORL (2-4) T10,ATL (1-3),IND (1-5),PHI (0-6),2015
"Nov 8, 2014",TOR (5-1),CHI (5-2) T2,WAS (5-2) T2,MIA (4-2),BRK (3-2),BOS (3-3) T6,CHO (3-3) T6,MIL (3-4),ATL (2-3) T9,CLE (2-3) T9,DET (2-3) T9,ORL (2-4),NYK (2-5),IND (1-6),PHI (0-6),2015
"Nov 9, 2014",TOR (6-1),CHI (5-2) T2,MIA (5-2) T2,WAS (5-2) T2,BRK (4-2),BOS (3-3),CHO (3-4) T7,MIL (3-4) T7,ATL (2-3) T9,CLE (2-3) T9,DET (2-4),NYK (2-5) T12,ORL (2-5) T12,IND (1-6),PHI (0-7),2015
"Nov 10, 2014",TOR (6-1),CHI (6-2),MIA (5-2) T3,WAS (5-2) T3,BRK (4-2),ATL (3-3) T6,BOS (3-3) T6,CLE (3-3) T6,CHO (3-4) T9,MIL (3-4) T9,DET (2-5) T11,ORL (2-5) T11,IND (2-6) T13,NYK (2-6) T13,PHI (0-7),2015
"Nov 11, 2014",TOR (7-1),CHI (6-2),MIA (5-2) T3,WAS (5-2) T3,BRK (4-2),MIL (4-4) T6,ATL (3-3) T6,BOS (3-3) T6,CLE (3-3) T6,CHO (3-5),DET (2-5),IND (2-6) T12,NYK (2-6) T12,ORL (2-6) T12,PHI (0-7),2015
"Nov 12, 2014",TOR (7-1),CHI (6-2) T2,WAS (6-2) T2,MIA (5-3),ATL (4-3) T5,BRK (4-3) T5,MIL (4-4) T7,CLE (3-3) T7,BOS (3-4),CHO (3-5),IND (3-6) T11,ORL (3-6) T11,DET (2-6),NYK (2-7),PHI (0-7),2015
"Nov 13, 2014",CHI (7-2) T1,TOR (7-2) T1,WAS (6-2),MIA (5-3),ATL (4-3),BRK (4-4) T6,MIL (4-4) T6,CLE (3-3) T6,BOS (3-4),CHO (3-5),IND (3-6) T11,ORL (3-6) T11,DET (2-6),NYK (2-7),PHI (0-8),2015
